v, t
2890, -9.811216 
2900, -9.853504 
2910, -9.895792 
2920, -9.938080 
2930, -9.980368 
2940, -10.022656 
2950, -10.064944 
2960, -10.107232 
2970, -10.149520 
2980, -10.191807 
2990, -10.234095 
3000, -10.276383 
3010, -10.318671 
3020, -10.360959 
3030, -10.403247 
3040, -10.445535 
3050, -10.487823 
3060, -10.530111 
3070, -10.572399 
3080, -10.614687 
3090, -10.656975 
3100, -10.699263 
3110, -10.741551 
3120, -10.783839 
3130, -10.826127 
3140, -10.868415 
3150, -10.910703 
3160, -10.952990 
3170, -10.995278 
3180, -11.037566 
3190, -11.079854 
3200, -11.122142 
3210, -11.164430 
3220, -11.206718 
3230, -11.249006 
3240, -11.291294 
3250, -11.333582 
3260, -11.375870 
3270, -11.418158 
3280, -11.460446 
3290, -11.502734 
3300, -11.545022 
3310, -11.587310 
3320, -11.629598 
3330, -11.671886 
3340, -11.714173 
3350, -11.756461 
3360, -11.798749 
3370, -11.841037 
3380, -11.883325 
3390, -11.925613 
3400, -11.967901 
3410, -12.010189 
3420, -12.052477 
3430, -12.094765 
3440, -12.137053 
3450, -12.179341 
3460, -12.221629 
3470, -12.263917 
3480, -12.306205 
3490, -12.348493 
3500, -12.390781 
3510, -12.433069 
3520, -12.475356 
3530, -12.517644 
3540, -12.559932 
3550, -12.602220 
3560, -12.644508 
3570, -12.686796 
3580, -12.729084 
3590, -12.771372 
3600, -12.813660 
3610, -12.855948 
3620, -12.898236 
3630, -12.940524 
3640, -12.982812 
3650, -13.025100 
3660, -13.067388 
3670, -13.109676 
3680, -13.151964 
3690, -13.194252 
3700, -13.236539 
3710, -13.278827 
3720, -13.321115 
3730, -13.363403 
3740, -13.405691 
3750, -13.447979 
3760, -13.490267 
3770, -13.532555 
3780, -13.574843 
3790, -13.617131 
3800, -13.659419 
3810, -13.701707 
3820, -13.743995 
3830, -13.786283 
3840, -13.828571 
3850, -13.870859 
3860, -13.913147 
3870, -13.955435 
3880, -13.997722 
3890, -14.040010 
3900, -14.082298 
3910, -14.124586 
3920, -14.166874 
3930, -14.209162 
3940, -14.251450 
3950, -14.293738 
3960, -14.336026 
3970, -14.378314 
3980, -14.420602 
3990, -14.462890 
4000, -14.505178 
4010, -14.547466 
4020, -14.589754 
4030, -14.632042 
4040, -14.674330 
4050, -14.716618 
4060, -14.758905 
4070, -14.801193 
4080, -14.843481 
4090, -14.885769 
4100, -14.928057 
4110, -14.970345 
4120, -15.012633 
4130, -15.054921 
4140, -15.097209 
4150, -15.139497 
4160, -15.181785 
4170, -15.224073 
4180, -15.266361 
4190, -15.308649 
4200, -15.350937 
4210, -15.393225 
4220, -15.435513 
4230, -15.477801 
4240, -15.520088 
4250, -15.562376 
4260, -15.604664 
4270, -15.646952 
4280, -15.689240 
4290, -15.731528 
4300, -15.773816 
4310, -15.816104 
4320, -15.858392 
4330, -15.900680 
4340, -15.942968 
4350, -15.985256 
4360, -16.027544 
4370, -16.069832 
4380, -16.112120 
4390, -16.154408 
4400, -16.196696 
4410, -16.238984 
4420, -16.281271 
4430, -16.323559 
4440, -16.365847 
4450, -16.408135 
4460, -16.450423 
4470, -16.492711 
4480, -16.534999 
4490, -16.577287 
4500, -16.619575 
4510, -16.661863 
4520, -16.704151 
4530, -16.746439 
4540, -16.788727 
4550, -16.831015 
4560, -16.873303 
4570, -16.915591 
4580, -16.957879 
4590, -17.000167 
4600, -17.042454 
4610, -17.084742 
4620, -17.127030 
4630, -17.169318 
4640, -17.211606 
4650, -17.253894 
4660, -17.296182 
4670, -17.338470 
4680, -17.380758 
4690, -17.423046 
4700, -17.465334 
4710, -17.507622 
4720, -17.549910 
4730, -17.592198 
4740, -17.634486 
4750, -17.676774 
4760, -17.719062 
4770, -17.761350 
4780, -17.803637 
4790, -17.845925 
4800, -17.888213 
4810, -17.930501 
4820, -17.972789 
4830, -18.015077 
4840, -18.057365 
4850, -18.099653 
4860, -18.141941 
4870, -18.184229 
4880, -18.226517 
4890, -18.268805 
4900, -18.311093 
4910, -18.353381 
4920, -18.395669 
4930, -18.437957 
4940, -18.480245 
4950, -18.522533 
4960, -18.564820 
4970, -18.607108 
4980, -18.649396 
4990, -18.691684 
5000, -18.733972 
5010, -18.776260 
5020, -18.818548 
5030, -18.860836 
5040, -18.903124 
5050, -18.945412 
5060, -18.987700 
5070, -19.029988 
5080, -19.072276 
5090, -19.114564 
5100, -19.156852 
5110, -19.199140 
5120, -19.241428 
5130, -19.283716 
5140, -19.326003 
5150, -19.368291 
5160, -19.410579 
5170, -19.452867 
5180, -19.495155 
5190, -19.537443 
5200, -19.579731 
5210, -19.622019 
5220, -19.664307 
5230, -19.706595 
5240, -19.748883 
5250, -19.791171 
5260, -19.833459 
5270, -19.875747 
5280, -19.918035 
5290, -19.960323 
5300, -20.002611 
5310, -20.044899 
5320, -20.087186 
